source,target,HS_CK_log2fc
MpVg00470,Mp1g10290,1.71804
MpVg00470,Mp1g10520,0.6356
MpVg00470,Mp1g11200,0.95401
MpVg00470,Mp1g11410,0.21675
MpVg00470,Mp1g11530,1.77413
MpVg00470,Mp1g12000,0.34547
MpVg00470,Mp1g12230,0.91256
MpVg00470,Mp1g12260,0.64365
MpVg00470,Mp1g12850,0.11827
MpVg00470,Mp1g12860,1.34406
MpVg00470,Mp1g12980,2.25816
MpVg00470,Mp1g15780,1.90399
MpVg00470,Mp1g17820,1.40233
MpVg00470,Mp1g18380,0.08048
MpVg00470,Mp1g18650,1.22896
MpVg00470,Mp1g21190,1.73021
MpVg00470,Mp1g02040,1.71024
MpVg00470,Mp1g02040,2.6257
MpVg00470,Mp1g02170,0.22087
MpVg00470,Mp1g23970,0.83935
MpVg00470,Mp1g23970,1.71273
MpVg00470,Mp1g24540,0.50438
MpVg00470,Mp1g25410,0.4307
MpVg00470,Mp1g26430,0.38517
MpVg00470,Mp1g26770,0.68577
MpVg00470,Mp1g27770,2.53877
MpVg00470,Mp1g28720,0.02241
MpVg00470,Mp1g02940,1.16951
MpVg00470,Mp1g02960,1.06065
MpVg00470,Mp1g03010,2.05964
MpVg00470,Mp1g03200,1.76696
MpVg00470,Mp1g04680,0.52008
MpVg00470,Mp1g04680,0.7418
MpVg00470,Mp1g05280,0.40939
MpVg00470,Mp1g05730,2.51756
MpVg00470,Mp1g05730,1.86684
MpVg00470,Mp1g08330,1.43517
MpVg00470,Mp1g00910,0.36211
MpVg00470,Mp2g10220,0.78247
MpVg00470,Mp2g10220,1.33344
MpVg00470,Mp2g10220,2.14087
MpVg00470,Mp2g10260,2.22243
MpVg00470,Mp2g10280,1.36846
MpVg00470,Mp2g10610,1.56962
MpVg00470,Mp2g00890,1.69263
MpVg00470,Mp2g10760,2.09142
MpVg00470,Mp2g13060,1.97983
MpVg00470,Mp2g13240,0.83114
MpVg00470,Mp2g01200,0.73478
MpVg00470,Mp2g15200,1.61795
MpVg00470,Mp2g01470,1.60338
MpVg00470,Mp2g16140,0.16848
MpVg00470,Mp2g16460,0.24645
MpVg00470,Mp2g16960,0.72963
MpVg00470,Mp2g17300,0.00659
MpVg00470,Mp2g01720,0.52292
MpVg00470,Mp2g18780,1.04219
MpVg00470,Mp2g19430,1.09073
MpVg00470,Mp2g22630,3.07039
MpVg00470,Mp2g22630,2.97641
MpVg00470,Mp2g22630,3.18612
MpVg00470,Mp2g22640,0.93147
MpVg00470,Mp2g23330,0.19474
MpVg00470,Mp2g23380,0.90163
MpVg00470,Mp2g23380,1.55535
MpVg00470,Mp2g23755,1.78688
MpVg00470,Mp2g23755,0.51648
MpVg00470,Mp2g23960,0.07034
MpVg00470,Mp2g24190,0.92467
MpVg00470,Mp2g25080,1.24847
MpVg00470,Mp2g25080,0.18014
MpVg00470,Mp2g25120,0.31748
MpVg00470,Mp2g25120,0.97732
MpVg00470,Mp2g25460,0.8428
MpVg00470,Mp2g25490,0.01834
MpVg00470,Mp2g25930,0.58217
MpVg00470,Mp2g02650,1.21853
MpVg00470,Mp2g02650,3.14491
MpVg00470,Mp2g02650,2.59962
MpVg00470,Mp2g02870,0.6798
MpVg00470,Mp2g03040,1.62546
MpVg00470,Mp2g04420,1.98384
MpVg00470,Mp2g04880,1.91622
MpVg00470,Mp2g04910,1.58466
MpVg00470,Mp2g05950,0.59145
MpVg00470,Mp2g07000,0.74363
MpVg00470,Mp2g07740,0.93322
MpVg00470,Mp2g08270,1.2006
MpVg00470,Mp2g08350,2.45855
MpVg00470,Mp2g09520,0.15436
MpVg00470,Mp3g10530,2.33878
MpVg00470,Mp3g10530,2.17814
MpVg00470,Mp3g11360,1.1556
MpVg00470,Mp3g11880,1.83287
MpVg00470,Mp3g12930,1.38801
MpVg00470,Mp3g01200,0.12995
MpVg00470,Mp3g15220,0.76514
MpVg00470,Mp3g15340,0.20659
MpVg00470,Mp3g15340,0.58167
MpVg00470,Mp3g15460,1.89892
MpVg00470,Mp3g15910,0.56032
MpVg00470,Mp3g15910,1.97508
MpVg00470,Mp3g16260,0.79065
MpVg00470,Mp3g17450,0.43914
MpVg00470,Mp3g17850,1.33443
MpVg00470,Mp3g01860,1.052
MpVg00470,Mp3g19360,2.25956
MpVg00470,Mp3g19610,1.76726
MpVg00470,Mp3g19810,0.18168
MpVg00470,Mp3g21010,1.32127
MpVg00470,Mp3g21700,1.48677
MpVg00470,Mp3g02620,2.29639
MpVg00470,Mp3g02620,1.42672
MpVg00470,Mp3g24240,1.26609
MpVg00470,Mp3g24960,2.68313
MpVg00470,Mp3g03550,0.48966
MpVg00470,Mp3g04180,0.50118
MpVg00470,Mp3g04180,2.6882
MpVg00470,Mp3g00220,0.4612
MpVg00470,Mp3g05140,1.46976
MpVg00470,Mp3g05350,0.38452
MpVg00470,Mp3g05780,2.11797
MpVg00470,Mp3g05930,1.69565
MpVg00470,Mp3g05930,2.02444
MpVg00470,Mp3g08380,1.47014
MpVg00470,Mp3g08970,0.47215
MpVg00470,Mp3g09050,0.78782
MpVg00470,Mp3g09050,0.57589
MpVg00470,Mp3g09050,1.21255
MpVg00470,Mp4g11140,0.93731
MpVg00470,Mp4g11675,0.08891
MpVg00470,Mp4g12300,1.1503
MpVg00470,Mp4g12890,1.91488
MpVg00470,Mp4g14480,0.2254
MpVg00470,Mp4g15760,1.74553
MpVg00470,Mp4g15980,1.16618
MpVg00470,Mp4g18140,2.06306
MpVg00470,Mp4g18140,0.83629
MpVg00470,Mp4g19310,1.57685
MpVg00470,Mp4g19310,1.61174
MpVg00470,Mp4g21590,0.7949
MpVg00470,Mp4g22650,0.52552
MpVg00470,Mp4g06985,0.02751
MpVg00470,Mp4g07350,1.49295
MpVg00470,Mp4g08265a,1.32016
MpVg00470,Mp4g00730,1.13681
MpVg00470,Mp5g09570,0.73998
MpVg00470,Mp5g11520,2.50345
MpVg00470,Mp5g13320,1.42179
MpVg00470,Mp5g14230,0.57769
MpVg00470,Mp5g15000,0.66189
MpVg00470,Mp5g15590,0.58788
MpVg00470,Mp5g15650,0.43859
MpVg00470,Mp5g15940,0.92607
MpVg00470,Mp5g15950,3.36303
MpVg00470,Mp5g15970,1.9455
MpVg00470,Mp5g15970,1.92648
MpVg00470,Mp5g16800,1.14621
MpVg00470,Mp5g17990,1.26754
MpVg00470,Mp5g18000,2.12185
MpVg00470,Mp5g01420,0.68309
MpVg00470,Mp5g19560,1.57047
MpVg00470,Mp5g20470,2.91146
MpVg00470,Mp5g20470,2.7846
MpVg00470,Mp5g21950,1.43942
MpVg00470,Mp5g22690,0.17266
MpVg00470,Mp5g22780,0.25527
MpVg00470,Mp5g01910,2.33347
MpVg00470,Mp5g23110,1.23335
MpVg00470,Mp5g23110,2.76331
MpVg00470,Mp5g23110,3.54597
MpVg00470,Mp5g23110,3.04917
MpVg00470,Mp5g23120,0.23595
MpVg00470,Mp5g23120,4.01812
MpVg00470,Mp5g23120,3.62298
MpVg00470,Mp5g23140,0.32716
MpVg00470,Mp5g23140,4.0856
MpVg00470,Mp5g23140,3.93995
MpVg00470,Mp5g23150,2.30848
MpVg00470,Mp5g23150,2.71217
MpVg00470,Mp5g04750,0.5511
MpVg00470,Mp5g05740,0.70997
MpVg00470,Mp5g05750,0.19221
MpVg00470,Mp5g00030,0.31305
MpVg00470,Mp5g06710,1.3854
MpVg00470,Mp5g08490,1.02815
MpVg00470,Mp5g08690,1.4349
MpVg00470,Mp6g09230,2.34468
MpVg00470,Mp6g00580,1.48939
MpVg00470,Mp6g09630,1.31501
MpVg00470,Mp6g10230,0.85301
MpVg00470,Mp6g10340,1.98301
MpVg00470,Mp6g10380,1.58986
MpVg00470,Mp6g11390,1.49368
MpVg00470,Mp6g00930,1.37282
MpVg00470,Mp6g00980,1.57615
MpVg00470,Mp6g14180,1.88875
MpVg00470,Mp6g14180,1.84667
MpVg00470,Mp6g15170,2.75188
MpVg00470,Mp6g15170,2.53418
MpVg00470,Mp6g15220,1.27011
MpVg00470,Mp6g15300,0.47741
MpVg00470,Mp6g01200,0.97873
MpVg00470,Mp6g15910,0.6395
MpVg00470,Mp6g01280,0.62269
MpVg00470,Mp6g17280,1.96204
MpVg00470,Mp6g01420,0.83327
MpVg00470,Mp6g19170,0.82792
MpVg00470,Mp6g19370,1.75166
MpVg00470,Mp6g19790,0.90982
MpVg00470,Mp6g19790,1.84978
MpVg00470,Mp6g19800,0.54544
MpVg00470,Mp6g19860,1.01981
MpVg00470,Mp6g20360,0.36274
MpVg00470,Mp6g21290,1.12955
MpVg00470,Mp6g02840,1.71381
MpVg00470,Mp6g02860,1.71311
MpVg00470,Mp6g05380,1.23174
MpVg00470,Mp6g05380,1.95084
MpVg00470,Mp6g05930,0.75624
MpVg00470,Mp6g06110,0.80667
MpVg00470,Mp6g06580,2.48717
MpVg00470,Mp6g00390,0.58084
MpVg00470,Mp6g00390,0.73506
MpVg00470,Mp6g07830,0.14078
MpVg00470,Mp6g08280,2.15709
MpVg00470,Mp7g09910,0.01248
MpVg00470,Mp7g10930,1.28714
MpVg00470,Mp7g10930,0.13729
MpVg00470,Mp7g11660,2.20386
MpVg00470,Mp7g11860,0.5374
MpVg00470,Mp7g13630,0.90929
MpVg00470,Mp7g14010,0.39746
MpVg00470,Mp7g15930,2.0318
MpVg00470,Mp7g16360,0.77671
MpVg00470,Mp7g16410,1.12182
MpVg00470,Mp7g16580,1.40245
MpVg00470,Mp7g17100,1.60975
MpVg00470,Mp7g17280,0.18675
MpVg00470,Mp7g17600,0.90406
MpVg00470,Mp7g17800,1.62339
MpVg00470,Mp7g17970,0.82012
MpVg00470,Mp7g17970,0.54504
MpVg00470,Mp7g02600,1.88359
MpVg00470,Mp7g04270,1.56516
MpVg00470,Mp7g06240,0.58013
MpVg00470,Mp7g06240,1.01167
MpVg00470,Mp7g06480,0.38825
MpVg00470,Mp7g06480,0.2671
MpVg00470,Mp7g06480,0.98476
MpVg00470,Mp7g06900,0.56895
MpVg00470,Mp7g06940,0.5977
MpVg00470,Mp7g07870,1.82845
MpVg00470,Mp7g07870,0.413
MpVg00470,Mp7g07880,1.28158
MpVg00470,Mp7g07880,0.62028
MpVg00470,Mp7g07890,1.03435
MpVg00470,Mp7g07890,0.8645
MpVg00470,Mp7g07900,0.84698
MpVg00470,Mp7g07900,0.60556
MpVg00470,Mp7g07910,1.17347
MpVg00470,Mp7g08250,0.72085
MpVg00470,Mp7g08390,1.29665
MpVg00470,Mp7g08810,1.83904
MpVg00470,Mp8g08690,0.16912
MpVg00470,Mp8g09030,0.14898
MpVg00470,Mp8g12135a,0.45702
MpVg00470,Mp8g01480,0.43014
MpVg00470,Mp8g14870,2.07648
MpVg00470,Mp8g15170,0.07045
MpVg00470,Mp8g15920,2.65081
MpVg00470,Mp8g16190,1.3327
MpVg00470,Mp8g16300,1.82101
MpVg00470,Mp8g16300,3.21121
MpVg00470,Mp8g16390,0.52295
MpVg00470,Mp8g01760,1.11431
MpVg00470,Mp8g17740,0.00979
MpVg00470,Mp8g18590,0.0091
MpVg00470,Mp8g18720,1.35282
MpVg00470,Mp8g02360,0.46105
MpVg00470,Mp8g02980,0.89689
MpVg00470,Mp8g03010,1.09224
MpVg00470,Mp8g03340,1.8198
MpVg00470,Mp8g03590,0.03205
MpVg00470,Mp8g05080,0.33397
MpVg00470,Mp8g05080,0.72091
MpVg00470,Mp8g06380,1.60393
MpVg00470,Mp8g06470,2.72524
MpVg00470,Mp8g06470,1.31182
MpVg00470,Mp8g06740,1.68236
MpVg00470,Mp8g07330,2.43584
MpVg00470,Mp8g07330,1.21012
MpVg00470,MpVg00240,0.54247
MpVg00470,MpVg00460,0.18262